BHP.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9290.000000  9290.000000  ...  9290.000000   9290.000000
mean     10.377381    10.452659  ...     0.003695      0.000574
std      10.935806    11.018882  ...     0.063909      0.029026
min       0.422758     0.422758  ...     0.000000      0.000000
25%       1.850574     1.850574  ...     0.000000      0.000000
50%       7.067458     7.107972  ...     0.000000      0.000000
75%      14.696169    14.783580  ...     0.000000      0.000000
max      49.017727    49.583391  ...     2.715270      2.065100

[8 rows x 7 columns]
