CSL.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  7637.000000  7637.000000  ...  7637.000000   7637.000000
mean     73.409881    74.018151  ...     0.004174      0.000393
std      97.252165    98.046755  ...     0.069539      0.034329
min       0.472683     0.472683  ...     0.000000      0.000000
25%       5.153592     5.206894  ...     0.000000      0.000000
50%      25.878324    26.161476  ...     0.000000      0.000000
75%      98.387574    99.285322  ...     0.000000      0.000000
max     322.550133   325.714613  ...     2.007782      3.000000

[8 rows x 7 columns]
