GMG.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  4854.000000  4854.000000  ...  4854.000000   4854.000000
mean      9.390938     9.491426  ...     0.001787      0.000041
std       6.762979     6.830495  ...     0.021302      0.002871
min       0.436356     0.492659  ...     0.000000      0.000000
25%       3.651672     3.691937  ...     0.000000      0.000000
50%       7.473517     7.535713  ...     0.000000      0.000000
75%      14.259413    14.430648  ...     0.000000      0.000000
max      33.500000    34.070000  ...     0.438189      0.200000

[8 rows x 7 columns]
