MQG.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  7071.000000  7071.000000  ...  7071.000000   7071.000000
mean     48.481661    48.905543  ...     0.010979      0.000133
std      52.296791    52.714975  ...     0.153860      0.011224
min       1.950499     1.950499  ...     0.000000      0.000000
25%      12.555397    12.722784  ...     0.000000      0.000000
50%      25.382906    25.600323  ...     0.000000      0.000000
75%      66.450861    66.997981  ...     0.000000      0.000000
max     199.619995   200.951653  ...     4.500000      0.943800

[8 rows x 7 columns]
