REA.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  6203.000000  6203.000000  ...  6203.000000   6203.000000
mean     41.147259    41.637242  ...     0.002101      0.000164
std      50.636478    51.214125  ...     0.034798      0.012889
min       0.039743     0.039743  ...     0.000000      0.000000
25%       2.030883     2.066651  ...     0.000000      0.000000
50%      11.180887    11.325508  ...     0.000000      0.000000
75%      70.078720    71.072971  ...     0.000000      0.000000
max     191.118946   193.916049  ...     0.890000      1.015100

[8 rows x 7 columns]
