RIO.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9289.000000  9289.000000  ...  9289.000000   9289.000000
mean     31.713992    31.976434  ...     0.006473      0.000252
std      30.801810    31.085172  ...     0.111909      0.017246
min       1.209145     1.209145  ...     0.000000      0.000000
25%       6.639390     6.639390  ...     0.000000      0.000000
50%      21.390464    21.631833  ...     0.000000      0.000000
75%      43.227191    43.545887  ...     0.000000      0.000000
max     131.379402   132.381520  ...     3.927800      1.267900

[8 rows x 7 columns]
