TCL.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  7159.000000  7159.000000  ...  7159.000000   7159.000000
mean      5.016181     5.054767  ...     0.001192      0.069842
std       4.322482     4.353608  ...     0.016123      5.909406
min       0.394517     0.394517  ...     0.000000      0.000000
25%       1.451950     1.459249  ...     0.000000      0.000000
50%       2.961884     2.984625  ...     0.000000      0.000000
75%       8.764707     8.843171  ...     0.000000      0.000000
max      14.531780    14.579644  ...     0.315000    500.000000

[8 rows x 7 columns]
