WES.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9289.000000  9289.000000  ...  9289.000000   9289.000000
mean     12.499383    12.594651  ...     0.005140      0.000759
std      14.837320    14.950674  ...     0.070260      0.031299
min       0.105883     0.105883  ...     0.000000      0.000000
25%       0.883213     0.883213  ...     0.000000      0.000000
50%       7.856918     7.914364  ...     0.000000      0.000000
75%      18.735785    18.824252  ...     0.000000      0.000000
max      68.000000    68.550003  ...     2.422914      2.000000

[8 rows x 7 columns]
