ALL.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  7071.000000  7071.000000  ...  7071.000000   7071.000000
mean     11.042471    11.170555  ...     0.000870      0.000566
std      12.546026    12.674076  ...     0.012634      0.047569
min       0.348934     0.348934  ...     0.000000      0.000000
25%       2.576555     2.626843  ...     0.000000      0.000000
50%       4.417937     4.485905  ...     0.000000      0.000000
75%      17.195520    17.435669  ...     0.000000      0.000000
max      47.637901    47.830573  ...     0.340000      4.000000

[8 rows x 7 columns]
