ANZ.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9290.000000  9290.000000  ...  9290.000000   9290.000000
mean      9.369186     9.436110  ...     0.003790      0.000444
std       7.982922     8.038325  ...     0.048972      0.021403
min       0.396526     0.396526  ...     0.000000      0.000000
25%       1.771307     1.771307  ...     0.000000      0.000000
50%       7.245293     7.309362  ...     0.000000      0.000000
75%      16.867647    17.026846  ...     0.000000      0.000000
max      29.700001    29.900000  ...     0.942482      1.046700

[8 rows x 7 columns]
