CBA.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  8334.000000  8334.000000  ...  8334.000000   8334.000000
mean     30.215807    30.418022  ...     0.009689      0.000479
std      29.359292    29.547857  ...     0.125234      0.021869
min       1.033812     1.033812  ...     0.000000      0.000000
25%       6.975488     7.002902  ...     0.000000      0.000000
50%      18.550602    18.740014  ...     0.000000      0.000000
75%      52.792850    53.156519  ...     0.000000      0.000000
max     120.559998   121.540001  ...     2.400000      1.000000

[8 rows x 7 columns]
