FMG.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9144.000000  9144.000000  ...  9144.000000   9144.000000
mean      2.635142     2.671724  ...     0.001369      0.001486
std       5.269425     5.330934  ...     0.038733      0.106581
min       0.000681     0.000681  ...     0.000000      0.000000
25%       0.004951     0.005009  ...     0.000000      0.000000
50%       0.232227     0.235331  ...     0.000000      0.000000
75%       2.232423     2.265766  ...     0.000000      0.000000
max      28.649738    28.774638  ...     2.110000     10.000000

[8 rows x 7 columns]
