NAB.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9289.000000  9289.000000  ...  9289.000000   9289.000000
mean     10.850549    10.923339  ...     0.005061      0.000329
std       8.139422     8.194337  ...     0.061695      0.018334
min       0.429114     0.429114  ...     0.000000      0.000000
25%       3.149179     3.149179  ...     0.000000      0.000000
50%       9.495184     9.560679  ...     0.000000      0.000000
75%      17.690197    17.860771  ...     0.000000      0.000000
max      34.900002    35.119999  ...     0.990000      1.039700

[8 rows x 7 columns]
