TLS.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  6725.000000  6725.000000  ...  6725.000000   6725.000000
mean      2.445825     2.462849  ...     0.000763      0.000266
std       1.036018     1.042488  ...     0.009511      0.015520
min       0.849120     0.849120  ...     0.000000      0.000000
25%       1.527345     1.538228  ...     0.000000      0.000000
50%       2.013124     2.024970  ...     0.000000      0.000000
75%       3.433363     3.453801  ...     0.000000      0.000000
max       4.819786     4.844964  ...     0.155000      1.000000

[8 rows x 7 columns]
