WBC.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9289.000000  9289.000000  ...  9289.000000   9289.000000
mean      9.602121     9.668363  ...     0.003575      0.000459
std       8.014103     8.067823  ...     0.048440      0.022201
min       0.564885     0.564885  ...     0.000000      0.000000
25%       1.779393     1.779393  ...     0.000000      0.000000
50%       7.483592     7.581766  ...     0.000000      0.000000
75%      18.704236    18.850418  ...     0.000000      0.000000
max      27.469999    27.700001  ...     0.940000      1.200000

[8 rows x 7 columns]
