WDS.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  9289.000000  9289.000000  ...  9289.000000   9289.000000
mean     12.231552    12.335231  ...     0.003639      0.000109
std       9.783310     9.873581  ...     0.057458      0.010463
min       0.368167     0.368167  ...     0.000000      0.000000
25%       2.641604     2.641604  ...     0.000000      0.000000
50%      13.854577    14.007213  ...     0.000000      0.000000
75%      20.347877    20.498829  ...     0.000000      0.000000
max      37.217390    37.624775  ...     2.154399      1.008400

[8 rows x 7 columns]
