WOW.AX Statistics
              Open         High  ...    Dividends  Stock Splits
count  7855.000000  7855.000000  ...  7855.000000   7855.000000
mean     12.844535    12.939595  ...     0.002773      0.000127
std      10.831499    10.910250  ...     0.036536      0.011283
min       0.676929     0.676929  ...     0.000000      0.000000
25%       2.732426     2.771831  ...     0.000000      0.000000
50%      12.349312    12.489479  ...     0.000000      0.000000
75%      19.141699    19.287239  ...     0.000000      0.000000
max      39.185980    39.339323  ...     0.720000      1.000000

[8 rows x 7 columns]
