XRO.AX Statistics
              Open         High  ...  Dividends  Stock Splits
count  2891.000000  2891.000000  ...     2891.0        2891.0
mean     57.588136    58.386627  ...        0.0           0.0
std      43.281408    43.871970  ...        0.0           0.0
min       4.450000     4.600000  ...        0.0           0.0
25%      18.280001    18.490000  ...        0.0           0.0
50%      41.540001    42.200001  ...        0.0           0.0
75%      91.524998    92.599998  ...        0.0           0.0
max     155.089996   157.990005  ...        0.0           0.0

[8 rows x 7 columns]
